"Timestamp"	"Коротко про те, ким ви працюєте:"	"category"	"probability"	"speciality_auto_detected"	"Чи вважаєте Ви COVID-19 небезпечним респіраторним захворюванням?"	"Чи довіряєте Ви уряду щодо кампанії вакцинації від COVID-19?"	"Чи довіряєте Ви сфері медицини, окрім кампанії вакцинації?"	"В цілому, я довіряю новинам:"	"Я вважаю, що усунення від роботи невакцинованих співробітників погіршує ситуацію:"	"Як багато Ваших знайомих вакциновано?"	"Як ваше рішення щодо вакцинації позначилося на ставленні людей до вас?"	"Як епідемія вплинула на ваших знайомих?"	"Ви готові придбати або вже придбали підроблений сертифікат COVID-19:"	"Крім питання персональної довіри до вакцин, в цілому ви ставитеся до вакцинації від COVID-19:"	"Ви вакциновані:"	"Незалежно від позиції по вакцинації, ви відстоюєте її:"	"Ви часто приєднуєтеся до громадських мітингів на важливі для вас теми:"	"У чому, на вашу думку, основна причина відмови людей від вакцинації?"	"Ваш вік"	"basic_classification"	"modified_classification"	"Недовіра"	"Конспірологічні"	"Соціальні"	"Дезінформація"
"12/8/2021 19:24:44"	"Інженер"	"2-1"	1	"інженер"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Медичний експеримент, а не вакцинація"	"25-35"	"Професіонали"	"Спеціальності науково-технічної спрямованості"		1		
"12/8/2021 19:28:05"	"Перукар"	"5-4"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Ні"	"Недовіра до влади та медицини ."	"35-45"	"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"	1			
"12/8/2021 19:31:08"	"робочий"	"9-9"	0.736842105263158	"різноробочий"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Ні"	"Всі або майже всі"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"недовіра до влади"	"45-60"	"Найпростіші професії"	"Сфера обслуговування"	1			
"12/8/2021 19:33:13"	"Пенсионер"	"10-10"	1	"пенсіонер"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Так"	"Негативно"	"Ні"	"Ні"	"Ні"	"Недоверие всему бесплатному"	"60+"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"	1			
"12/8/2021 19:50:14"	"Психолог"	"2-2"	1	"психолог"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Порушення прав людини"	"35-45"	"Професіонали"	"Спеціальності сфери охорони здоров’я"			1	
"12/8/2021 20:10:50"	"менеджер"	"1-7"	1	"менеджер"	"Так, вважаю"	"Скоріше ні"	"Скоріше так"	"Ні"	"Так"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Ні"	"примусовість, тиск, недовіра до недослідженої вакцини"	"25-35"	"ЗВДСКМ(У)"	"Керівні спеціальності"	1		1	
"12/8/2021 20:13:28"	"Мамою"	"10-10"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Це не вакцина, а медичний експеремент, не завершено клiнiчнi дослiдження, не вiдомi наслiдки цих iнэкцiй в майбутньому"	"35-45"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"		1		
"12/8/2021 20:14:38"	"Працюю"	"10-10"	0.8	"не працюю"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Ложь!"	"45-60"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"	1			
"12/8/2021 20:18:36"	"Из-за карантина осталась безработная"	"10-10"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Вакцина не решает проблемы, вирус быстро мутирует,поэтому надо нарабатывать коллективный иммунитет.  Людей колют экспериментальными вакцинами, в случае осложнений ни государство, ни производители не несут ответственности и вакцинированные остаются один на один со своими осложнениями. Я против принудительной вакцинации. Сейчас нарушаются Конституционные права людей."	"45-60"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"		1		
"12/8/2021 20:18:49"	"Студент"	"11-10"	1	"студент"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Порушення прав, насильні дії проти них"	"25-35"	"Незайняті (школярі, студенти)"	"Спеціальність невідома"			1	
"12/8/2021 20:30:53"	"Фриланс"	"3-10"	0.875	"фрілансер"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Експериментальна вакцина за яку ні виробник, ні уряд, ні лікарі не несуть відповідальності."	"35-45"	"Фахівці"	"Спеціальність невідома"		1		
"12/8/2021 20:31:46"	"Фінанси"	"2-3"	1	"фінанси"	"Ні, не вважаю"	"Скоріше ні"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Скоріше негативно"	"Ні"	"Ні"	"Ні"	"Тиск і примусовість"	"45-60"	"Професіонали"	"Спеціальності сфера фінансів"			1	
"12/8/2021 20:35:30"	"Держслужба"	"5-4"	0.75	"держслужбовець"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Скоріше негативно"	"Ні"	"Ні"	"Ні"	"Примушування"	"35-45"	"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"			1	
"12/8/2021 21:06:49"	"Аналитик "	"2-1"	1	"аналітик"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Потому что это искусственно спланированная пандемия. И происходит всемирный медицинский эксперимент над человечеством. "	"35-45"	"Професіонали"	"Спеціальності науково-технічної спрямованості"		1		
"12/8/2021 21:28:10"	"Менеджер"	"1-7"	1	"менеджер"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Багато побічних ефектів, зокрема смерть від вакцини. Не достатньо випробувань, дуже вже нам всіх хочуть врятувати від цієї ,,страшної"" хвороби. "	"35-45"	"ЗВДСКМ(У)"	"Керівні спеціальності"		1		
"12/8/2021 21:44:39"	"Викладач"	"2-5"	1	"викладач"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Недовіра і багато побічних, навіть смертей"	"35-45"	"Професіонали"	"Спеціальності сфери освіти"	1			
"12/8/2021 21:58:58"	"економіст"	"3-3"	1	"економіст"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Скоріше позитивно"	"Ні"	"Так"	"Так"	"1.Твое здоров'я- твоя проблема. Ковід- купуй ліки сам, а якщо поствакцінальні ускладнення - це теж твоя проблема.  Не мають  люди зайвих коштів на ритуальні послуги  та лікування поствакційних ускладнень.                                                                                       2. В нашому місті декілька людей середнього віку померли впродовж 2-3 днів після вакцінації, але нікому це нецікаво, сім'я залишається сам на сам з цим. Інформація швидко поширюється між людьми, особливо якщо знав цих людей, або іх рідних.                       
3.Відстеження поствакцінальних ускладнень у інших країнах, яких забагато, з урахуванням того, що не всі випадки підпадають під реєстрацію.         
4.Я  та моя сім'я всі  разом перехворіли на ковід, але тільки чоловік здавав тест, та звертався до лікаря , та протокол лікування з 2 АБ полетів у сміття. Лікувалися народними методами, дешево та ефективно. Читала лікаря-інфекціоніста Дубровського, який відстежував 17 місяців перехворілих і вони мали антитіла та не хворіли повторно. Ми теж до цих пір не захворіли повторно.  У людей багато питань- чому владі байдуже на стан нашого здоров'я, а  потрібен папірець про вакцінацію, який  є пропуском у транспорт, у життя .                                                                                                                   5.Ми не потрібні своїй державі,  чому не лікують туберкульоз,  онко та серцеві захворювання, а від ковіду відразу вакцини купили та ще й примусово змушують?  Тобто це не про заботу.                                                                           
6.Клінічні випробування ще не завершені. Результати компанії-виробники  не публікують, у пресі була інформація про підтасовування результатів.                                                                                                                                         7. В  темі вакцінації крутиться  багато грошей, значить це комусь вигідно.                                          8. Народ не довіряє владі після постійної брехні. (Як приклад - заборона прогулянок у парках навесні 2020,  введення карантинних заходів з порушенням процедури, законів, конституції України. )                                                                                                        9. Владу не цікавить думка компетентних  лікарів-вірусологів, лікарів-імунологів. Натомість політики вірішують медичні питання."	"45-60"	"Фахівці"	"Спеціальності сфера фінансів"	1		1	1
"12/8/2021 22:06:36"	"юрист"	"2-6"	1	"юрист"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"люди не хотят участвовать в сомнительном медицинском эксперименте в качестве лабораторных крыс"	"45-60"	"Професіонали"	"Юридичні спеціальності"		1		
"12/8/2021 22:08:27"	"Наладчик"	"2-1"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Недовіра
"	"45-60"	"Професіонали"	"Спеціальності науково-технічної спрямованості"	1			
"12/8/2021 22:12:48"	"Графічний дизайнер "	"2-8"	1	"дизайнер(2)"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Люди уміють критично мислити і розуміють, що для здоров'я необхідно правильно харчуватись, багато рухатись і мислити позитивно, а НЕ дивитись телевізору і жити в страху перед невідомо чим і колоти у себе невідомо що. Здоровомислячі люди розуміють, що так відбираються їх законні права. Фашизм і диктатура НЕДОПУСТИМІ сьогодні.
Про який захист здоров'я може йти мова, коли здорових людей незаконно відсторонюють від роботи, бо вони не захотіли експериментів над собою або купувати ""паспорт""? Той, хто турбується про себе ніколи не змінить свого рішення. 
І епідемії в Україні немає, начебто ви цього не знаєте) "	"16-25"	"Професіонали"	"Творчі та гуманітарні спеціальності"	1	1		
"12/8/2021 22:26:03"	"IT"	"2-1"	1	"it"	"Так, вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Нав‘язання. Те, що вакцинація, примусова. Вакцинація від распіраторних хвороб - абсурд. Недовіра. Абсурдність ситуації з короновірусом, неадекватність мір загрозі. "	"25-35"	"Професіонали"	"Спеціальності науково-технічної спрямованості"	1		1	
"12/8/2021 22:35:20"	"Не працюю"	"10-10"	1	"не працюю"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Бо це не вакцинація,а примусові клінічні випробування преперату ,який вбиває людей. Порушення прав людей на свободу вибору ,на вільне життя. Людина,її життя і здоров'я,честь і гідність,недоторканість і безпека визнаються в Україні найвищою соціальною цінністю."	"35-45"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"		1	1	1
"12/8/2021 23:01:12"	"химик-синтетик"	"2-1"			"Так, вважаю"	"Скоріше так"	"Скоріше так"	"Ні"	"Так"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше позитивно"	"Ні"	"Так"	"Ні"	"Странный опрос - самого главного вопроса я так и не нашел. Я не против на вакцинации в целом, ни вакцинации от ковида, тем более что она настолько проверена и безопасна, насколько это вообще возможно при текущем уровне науки. Просто вакцинация, как и любое другое медицинское вмешательство в организм, должна быть исключительно добровольной. А этого вопроса - о добровольности, как раз и нет. Так что моя основная причина отказа от вакцинации -  это принуждение к ней. Насколько эта причина близка прочим, и какие причины у них - не берусь сказать."	"25-35"	"Професіонали"	"Спеціальності науково-технічної спрямованості"			1	
"12/8/2021 23:12:07"	"Бухгалтер"	"3-3"	1	"бухгалтер"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Ця хвороба маловивчена, вірус мутує, ефективність кандидатів в вакцини не доведена, або відсоток ефективності малий. Людей примушують брати участь у випробуваннях кандидатів в вакцини, користь від яких значно менша ніж загроза побічних ефектів від ""вакцинації"", виробник не несе відповідальність."	"25-35"	"Фахівці"	"Спеціальності сфера фінансів"				1
"12/8/2021 23:25:38"	"Служащий"	"5-4"	0.842105263157895	"держслужбовець"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Неоправданность её пользы + множество опасных осложнений + неоконченный эксперимент"	"45-60"	"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"		1		
"12/8/2021 23:28:21"	"Домогосподарка"	"10-10"	1	"домогосподарка"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Примусовість і порушення прав людей"	"35-45"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"			1	
"12/8/2021 23:29:50"	"Временно отстранен от работы по причине нежелания добровольно колоться экспериментальными субстанциями."	"10-10"			"Ні, не вірю в його існування"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Это не вакцина."	"35-45"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"		1		
"12/8/2021 23:33:07"	"Вчитель"	"2-5"	1	"вчитель"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше так"	"Так"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Важко відповісти"	"Ні"	"Скоріше позитивно"	"Ні"	"Ні"	"Ні"	"Примус"	"45-60"	"Професіонали"	"Спеціальності сфери освіти"			1	
"12/8/2021 23:42:21"	"Пенсионерка"	"10-10"	0.9	"пенсіонер"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Ні"	"Ні"	"Недоверие"	"60+"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"	1			
"12/9/2021 0:28:45"	"инженер-проектировщик"	"2-1"			"Ні, не вірю в його існування"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Бо це медичний експеримент, вакцини не мають сертифікату, виробники вакцин не дають достовірний склад вакцин, йде випробування нових вакцин на людині, тобто медичний експеримент "	"35-45"	"Професіонали"	"Спеціальності науково-технічної спрямованості"		1		1
"12/9/2021 0:47:06"	"Бизнес-консультант"	"2-4"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"1.Препараты не прошли клинических испытаний 2.давно известно, что респираторные вирусы быстро мутируют, поэтому вакцины против них неэффективны 3.слишком много антинаучного вранья и бреда вокруг ""животворящих"" вакцин, особенно бесит ""вакцины защищают лучше, чем приобретенный после болезни иммунитет"". Очевидно, что это не про здоровье, а распил бабла и отбор прав и свобод"	"45-60"	"Професіонали"	"Спеціальності сфери послуг"	1			
"12/9/2021 1:01:47"	"Домохозяйка "	"10-10"	1	"домогосподарка"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Важко відповісти"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Принуждение "	"25-35"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"			1	
"12/9/2021 1:33:25"	"Менеджер"	"1-7"	1	"менеджер"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Так"	"Негативно"	"Ні"	"Так"	"Так"	"Не довіра, до "" вакцини """	"25-35"	"ЗВДСКМ(У)"	"Керівні спеціальності"	1			
"12/9/2021 7:23:10"	"Не працюю"	"10-10"	1	"не працюю"	"Так, вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Це геноцид"	"35-45"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"		1		
"12/9/2021 7:33:33"	"Домогосподарка"	"10-10"	1	"домогосподарка"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Примус"	"35-45"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"			1	
"12/9/2021 8:02:55"	"Не працюю"	"10-10"	1	"не працюю"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Вакцинованi хворiють так же как все. Ускладнення та смерть."	"45-60"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"		1		
"12/9/2021 8:42:34"	"Інженер"	"2-1"	1	"інженер"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Ні"	"Недовіра, дуже роздута і має дуже багато запитань вся історія з ковідом."	"35-45"	"Професіонали"	"Спеціальності науково-технічної спрямованості"	1			
"12/9/2021 8:57:49"	"Косметолог"	"5-4"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Так"	"Негативно"	"Ні"	"Ні"	"Ні"	"Це не вакцина а ліки екстреного застосування. "	"45-60"	"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"		1		
"12/9/2021 9:02:21"	"Худ.рук"	"2-8"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Недоверие"	"45-60"	"Професіонали"	"Творчі та гуманітарні спеціальності"	1			
"12/9/2021 9:33:41"	"Вчитель"	"2-5"	1	"вчитель"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Небезпечний склад речовини вакцин, 

відсутня відповідальність за можливі негативні наслідки вакцинації, 

примусовість(адмінтиск)
 Штучний розподіл суспільства ще й за ознакою вакцинованості,

Приховування офіційними особами справжньої статистики смертей, ускладнень, мети цього експерименту."	"35-45"	"Професіонали"	"Спеціальності сфери освіти"		1	1	
"12/9/2021 9:34:18"	"Не працюю."	"10-10"	0.947368421052632	"не працюю"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Ні"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Бо це заробіток на людях. А також справжньої вакцини проти цього не існує. Це є брехня."	"35-45"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"	1			
"12/9/2021 9:40:24"	"Да, Фриланс "	"3-10"	0.875	"фрілансер(2)"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Обман и жуткие последствия "	"35-45"	"Фахівці"	"Спеціальність невідома"		1		
"12/9/2021 10:34:10"	"Бухгалтер"	"3-3"	1	"бухгалтер"	"Ні, не вважаю"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Ні"	"Тиск і примушування"	"35-45"	"Фахівці"	"Спеціальності сфера фінансів"			1	
"12/9/2021 10:42:50"	"Секретар "	"10-10"	0.714285714285714	"декрет"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є загиблі"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Ні"	"Недовіра"	"45-60"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"	1			
"12/9/2021 10:48:07"	"Домохозяйка "	"10-10"	1	"домогосподарка"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Важко відповісти"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Ні"	"Побічні ефекти "	"35-45"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"				1
"12/9/2021 11:44:35"	"Домохозяйка"	"10-10"	1	"домогосподарка"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Принуждение. Должно быть добровольно. Ведь это эксперимент."	"35-45"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"		1	1	
"12/9/2021 12:09:44"	"Медичним працівником"	"5-4"	0.782608695652174	"соцпрацівник(2)"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Ті хто відмовляються, живі Люди і вміють мислити критично,  можуть довести свою думку, не довіряють ТСН. Мають життєвий досвіт. Можуть проводити історичні паралелі. Ще багато іншого. А ті що це зробили, не вміють мислити взагалі, не знають законів, мають вузький погляд на життя, деградують. А до чого опитуєте, щоб знати скільки залишилось ще Людьми? Все ж і так зрозуміло. Ви краще себе запитайте: хто має право втручатися в тіло, душу, життя, права, Людини? Це все має Людина від Бога, то ніхто окрім Бога не має на це право. Чи не так!"	"45-60"	"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"	1			
"12/9/2021 12:59:07"	"Разнорабочий"	"9-9"	1	"різноробочий"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Важко відповісти"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Это геноцид людей так как делал Гитлер только с автоматом в руках."	"45-60"	"Найпростіші професії"	"Сфера обслуговування"		1		
"12/9/2021 13:19:23"	"Безробітна"	"10-10"	1	"безробітна"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Люди не хочуть поводити на собі експеримент"	"25-35"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"		1		
"12/9/2021 13:27:14"	"Пенсіонер"	"10-10"	1	"пенсіонер"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Так"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Ні"	"Так"	"Шалений тиск і маніпуляція інформацією і статистикою"	"60+"	"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"			1	
