Timestamp	Коротко про те, ким ви працюєте:	Чи вважаєте Ви COVID-19 небезпечним респіраторним захворюванням?	Чи довіряєте Ви уряду щодо кампанії вакцинації від COVID-19?	Чи довіряєте Ви сфері медицини, окрім кампанії вакцинації?	В цілому, я довіряю новинам:	Я вважаю, що усунення від роботи невакцинованих співробітників погіршує ситуацію:	Як багато Ваших знайомих вакциновано?	Як ваше рішення щодо вакцинації позначилося на ставленні людей до вас?	Як епідемія вплинула на ваших знайомих?	Ви готові придбати або вже придбали підроблений сертифікат COVID-19:	Крім питання персональної довіри до вакцин, в цілому ви ставитеся до вакцинації від COVID-19:	Ви вакциновані:	Незалежно від позиції по вакцинації, ви відстоюєте її:	Ви часто приєднуєтеся до громадських мітингів на важливі для вас теми:	У чому, на вашу думку, основна причина відмови людей від вакцинації?	Ваш вік
12/9/2021 22:27:46	 фоп	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Ні	Ні	Это противоречит здравому смыслу. Это эксперимент над людьми!!! Почему после перенесенной болезни, имея прекрасный иммунитет подтвержденный анализами я должна все равно колоться ибо меня лишат всего , чего можно лишить??? Где логика! Это маразм, ничего общего с врачеванием не имеющий! Это бизнес и танцы на костях лохов!!! Вам это так не пройдет!!!	35-45
12/9/2021 22:30:16	Водитель	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько трьох чвертей знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Я не подопытный кролик .	45-60
12/9/2021 22:30:41	Продавець	Ні, не вірю в його існування	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	Фейк.!!!  Для чого шмурдяк колоти?	35-45
12/9/2021 22:34:56	бухгалтер	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Негативно	Ні	Так	Так	не може бути довіри до брехні	45-60
12/9/2021 22:44:07	Педагог	Ні, не вважаю	Скоріше ні	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих ніхто не захворів	Ні	Скоріше негативно	Ні	Так	Ні	Не бажання приймати участь у медичному експерименті	35-45
12/9/2021 23:56:41	Лікар 	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Далося взнаки позитивно, відчуваю підтримку	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Так	Цей метод давно себе дискредитував 	45-60
12/10/2021 0:02:11	Врач	Так, вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	Нет надлежаших исследований и длительного периода наблюдения за побочными эффектами	45-60
12/10/2021 0:05:40	лікар	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Далося взнаки позитивно, відчуваю підтримку	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	 Бо вакцинація небезпечна  для здоров'я 	45-60
12/10/2021 0:07:29	Инженер	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Так	Так	Ні	Неизвестность, ажиотаж, запреты, принуждение и т.д.	45-60
12/10/2021 0:08:18	врач	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	Это не вакцина	45-60
12/10/2021 0:13:05	Врач женской консультации	Ні, не вважаю	Ні, не довіряю	Так, довіряю	Так	Так	Близько трьох чвертей знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Негативно	Ні	Так	Ні	1. Это не вакцинация, а клинический эксперимент.2. В Украине осложнения от вакцинации скрывают, но есть, например, статистика США, и она не в пользу вакцинации. 3.Нет доказанной эффективности, скорее наоборот.	45-60
12/10/2021 0:13:29	Лікар	Так, вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Скоріше негативно	Ні	Ні	Ні	Причини різні, але основна - це відсутність довіри до влади	60+
12/10/2021 0:15:39	Предпринематель	Так, вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Ні	Ні	Недоказанность	35-45
12/10/2021 0:16:08	Без работы	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Скоріше негативно	Ні	Ні	Ні	Незнание полной информации о вакцинах (при каких условиях шла разработка, каков состав продукции, результаты исследований и т.д.), а также неуверенность в том, что людей не затронут какие-либо неожиданности со здоровьем (вплоть до летального исхода). Ну и снятие ответственности с фармпроизводителя и власти за последствия вакцинации населения (кроме, непосредственно, уколовшихся).	16-25
12/10/2021 0:28:04	Вчитель	Ні, не вважаю	Ні, не довіряю	Так, довіряю	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	До неї агресивно примушують, це експеримент, порушують закон, не ведуть і не оголошують правдиву статистику. Кожна людина сама має право і розум вирішувати , що їй треба для здоров'я і як вона за ним стежить. Дуже багато нісенитниць стосовно вірусу. Люди вміють аналізувати і мислити. 	35-45
12/10/2021 0:31:27	Психолог 	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Важко відповісти	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Так	В основе лежит ложь и насилие 	35-45
12/10/2021 0:32:58	Соц. Волонтер	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько трьох чвертей знайомих	Далося взнаки позитивно, відчуваю підтримку	Мої знайомі перехворіли без особливих ускладнень	Так	Негативно	Ні	Ні	Так	Принуждение и нарушение прав человека под видом заботы	25-35
12/10/2021 0:46:06	Художник	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	Вакцина эксперементальная,зачем нормальному,здоровому человеку впрыскивать в себя неизвестно что	60+
12/10/2021 1:13:36	Бухгалтер	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Так	Негативно	Ні	Так	Ні	Примус, недосліджені наслідки	25-35
12/10/2021 2:33:41	В системе	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Всі або майже всі	Далося взнаки негативно, відчуваю засудження	Серед знайомих є загиблі	Так	Негативно	Ні	Ні	Ні	Это медицинский эксперимент на человечеством, за их же деньги из их же налогов.	25-35
12/10/2021 4:22:45	Викладач	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько половини знайомих	Далося взнаки негативно, відчуваю засудження	Мої знайомі перехворіли без особливих ускладнень	Так	Негативно	Ні	Так	Ні	Недовіра до виробника, самої вакцини, влади. Алогічність дій влади щодо ковід. Насилля щодо вакцинації. 	35-45
12/10/2021 6:07:47	Финансист 	Ні, не вірю в його існування	Ні, не довіряю	Так, довіряю	Так	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Так	Ні	Ні	"Есть одна пословица: ""Когда вы рассказали, то я поверил. Когда вы напомнили, то я засомневался. Когда вы начали мне доказывать, то я понял, что вы врёте."" "	16-25
12/10/2021 6:23:42	Электромеханик	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Ні	Ні	Вакцини не захищають повнистю, а являются экспериментом и имеют побочки вплоть до летальных случаев . И должны быть добровольными а не насильными	35-45
12/10/2021 6:29:19	Не працюю, 3 группа	Так, вважаю	Ні, не довіряю	Скоріше так	Так	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Скоріше негативно	Ні	Ні	Так	Нет никакой ответственности за побочные явление производителя, государства и медицины	45-60
12/10/2021 7:01:23	Декрктна вiдпуска	Ні, не вірю в його існування	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Скоріше негативно	Ні	Ні	Так	Вiд клiничного експеременту	35-45
12/10/2021 7:08:10	Негде	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Ніхто	Далося взнаки позитивно, відчуваю підтримку	Серед знайомих є загиблі	Ні	Негативно	Ні	Так	Так	Недоверие	45-60
12/10/2021 7:13:55	Лікар	Так, вважаю	Ні, не довіряю	Скоріше ні	Так	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Ні	Недовіра до вакцини через примусовість і офіційне заперечення серйозних ускладнень	35-45
12/10/2021 7:19:15	Токар	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Так	Обмани і маніпуляція статистичними даними.	25-35
12/10/2021 7:33:24	Менеджер	Так, вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько трьох чвертей знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Скоріше негативно	Ні	Ні	Так	Недовіра до системи охорони здоров'я, недовіра до влади	35-45
12/10/2021 8:11:32	Психолог	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Ні	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Негативно	Ні	Так	Ні	Недовіра уряду, тому що зняли з себе всю відповідальність за побочні явища.	35-45
12/10/2021 8:11:49	Педиатр	Так, вважаю	Ні, не довіряю	Скоріше так	Так	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	Відсутність клінічних іспитів, 	45-60
12/10/2021 8:28:41	дизайнер	Так, вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Скоріше негативно	Ні	Так	Ні	яка б не була причина, людина має на неї право	45-60
12/10/2021 8:30:03	Коуч	Ні, не вважаю	Скоріше ні	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Так	Ні	Ні	Недовіра	45-60
12/10/2021 8:35:09	Торговый представитель	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	Думающие люди, понимают, что это все приказы Воз. Никогда так государство не заботилось о здоровье своих граждан.	35-45
12/10/2021 8:35:10	Державна служба	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Всі або майже всі	Далося взнаки негативно, відчуваю засудження	Серед знайомих є загиблі	Так	Скоріше негативно	Ні	Ні	Ні	непрозорість  вакцинації, побоювання щодо якості вакцин, їх зберігання та її дії!	25-35
12/10/2021 8:42:54	Безработная	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Так	Так	Ні	Здравый смысл	45-60
12/10/2021 8:53:34	Хімік	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	Неправдива інформація щодо пандемії, вакцинації експериментальними препаратами, що є не досліджені, та протиправні дії КМУ, МОЗ до народу України	35-45
12/10/2021 9:13:59	Менеджер	Так, вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Серед знайомих є люди з ускладненнями	Ні	Скоріше негативно	Ні	Так	Ні	Примусова вакцинація, тиск на людей, обмеження прав та свобод, на незаконний тиск влади	25-35
12/10/2021 9:17:56	Інженер 	Так, вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Важко відповісти	Ні	Негативно	Ні	Так	Так	Примус, стан здоров'я, відсутність бажання впливати зайвий раз на імунну систему 	35-45
12/10/2021 9:23:16	Не працюю	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Так	Небажання приймати участь в експерименті	45-60
12/10/2021 9:23:47	Менеджер	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Так	Бо це експеременти над людьми	25-35
12/10/2021 9:25:45	Консультант продавець	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Серед знайомих ніхто не захворів	Ні	Скоріше негативно	Так	Ні	Так	Більшість людей, які мають відносно нормальний опір свого організму ( імунітет) мають право вибору робити вакцину чи ні. Я працюю на постійному контакті з людьми, і наразі ще не хворіла. Вакцинувалися лише тому, що потрібно працювати і це вважаю психологічним насильством над собою. Тобто вибір один: вакцинуйся або помри з голоду.  Неподобство !!! 	35-45
12/10/2021 9:34:10	Менеджер	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Ніхто	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Ні	Так	Медичний експеримент на людях. Ніхто не несе відповідальності за наслідки.	25-35
12/10/2021 9:45:18	Врач	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Ні	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Так	Цитокиновый шторм и развитие аутоимунных заболеваний	25-35
12/10/2021 9:48:54	Продавец	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих ніхто не захворів	Ні	Негативно	Ні	Так	Ні	Люди не хотят учавствовать в єксперементе.	45-60
12/10/2021 9:53:02	Водій	Ні, не вважаю	Ні, не довіряю	Так, довіряю	Ні	Ні	Ніхто	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	Думають про своє здоров'я, не тільки зараз, але й після експерименту.	45-60
12/10/2021 9:56:46	Офіс	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько половини знайомих	Далося взнаки негативно, відчуваю засудження	Мої знайомі перехворіли без особливих ускладнень	Так	Негативно	Ні	Так	Ні	Недовіра до якості, побічні ефекти	25-35
12/10/2021 10:00:51	продавец	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Ніхто	Далося взнаки позитивно, відчуваю підтримку	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Люди не желают учавствовать в єксперементе	45-60
12/10/2021 10:10:17	Психолог	Так, вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Ні	Ні	Частота проведения и эксперементальные вакцины	35-45
12/10/2021 10:16:28	Домогосподарка	Так, вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Ні	Брехня уряду, замовчування побічних ефектів після вакцинації, відсутність адекватного розслідування та реагування на тяжкі ускладнення вакцинації,  тяжкі побічні ускладнення, відсутність даних щодо безпечності та ефективності наявних вакцин в цілому	35-45
12/10/2021 10:35:41	Менеджер	Так, вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Негативно	Ні	Так	Ні	Побочные явления от вакцин,скрытие этой информации в официальных каналах,нет страховки для пострадавших	45-60
12/10/2021 10:49:59	Пенсіонер	Ні, не вважаю	Ні, не довіряю	Скоріше так	Так	Так	Близько чверті знайомих	Далося взнаки позитивно, відчуваю підтримку	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Ні	Ця вакцинація шкідлива для здоров'я 	60+
12/10/2021 10:50:19	Лікар	Ні, не вважаю	Ні, не довіряю	Так, довіряю	Ні	Так	Близько чверті знайомих	Далося взнаки позитивно, відчуваю підтримку	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Вони проти прийняття участі в медичному експерименті, особливо якщо до цього примушують!!!	45-60
12/10/2021 10:58:32	Держслужба	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Всі або майже всі	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Страх за життя, невпевненість у вакцинах, дії держави	45-60
12/10/2021 12:04:46	Не працюю	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Ніхто	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Так	Не про здоровья	25-35
12/10/2021 12:40:10	Педагог	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Ні	Недовіра	35-45
12/10/2021 12:42:49	Лікар	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Ніхто	Далося взнаки позитивно, відчуваю підтримку	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Небезпека для здоров'я, відсутність сенсу.	60+
12/10/2021 13:02:24	Инженер 	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Так	Ні	Ні	Это не вакцины раз, защиты никакой,после них падает качество здоровья и жизни. До вакцинацинации общаясь с ковидными я не заболела за 1.5 года,после вакцинации заболела и при чем очень тяжело 70% поражение лёгких, сатурация упала до 60%. Не вакцинированные переболевают легче и быстрее за 10-14 дней.  Семейный работает по каким то протоколам,а не глядя на состояние больного. Огромное спасибо за то,что за наши налоги государство убивает нам иммунитет. 	60+
12/10/2021 14:12:19	Хімічна промисловість	Так, вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Ні	Безграмотне проведення вакцинації, примус, сегрегація населення	45-60
12/10/2021 14:48:24	частній предприниматель	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Ні	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	експерімент	35-45
12/10/2021 15:54:44	Продавец-консультант	Так, вважаю	Ні, не довіряю	Скоріше так	Ні	Важко відповісти	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Скоріше негативно	Ні	Ні	Ні	Не довіра 	16-25
12/10/2021 15:58:39	тех отдел билетное агенство 	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Негативно	Ні	Так	Ні	недовіра до влади країни , та в цілому до ситуації  у світі 	25-35
12/10/2021 15:58:42	Аналітик	Так, вважаю	Скоріше так	Скоріше ні	Ні	Важко відповісти	Близько трьох чвертей знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Скоріше позитивно	Так	Так	Ні	Страх, недовіра до влади, неосвіченість, проплачені кампанії з дискредитації вакцинації 	35-45
12/10/2021 15:59:17	Декрет	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Брехня 	35-45
12/10/2021 15:59:19	Банковский работник	Ні, не вірю в його існування	Ні, не довіряю	Так, довіряю	Ні	Так	Всі або майже всі	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Ні	Это не вакцина. 	60+
12/10/2021 16:00:02	Домогосподарка	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Далося взнаки позитивно, відчуваю підтримку	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	Піклування про власне здоров‘я, недовіра, неефективність, сегрегація 	25-35
12/10/2021 16:03:00	ФОП	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Так	Негативно	Ні	Так	Ні	Тотальна брехня та замовчування реальної картини	45-60
12/10/2021 16:05:03	трейдер	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Негативно	Ні	Так	Ні	це не вакцина, а невидома жижа.	35-45
12/10/2021 16:06:31	Студент	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Мої знайомі перехворіли без особливих ускладнень	Так	Негативно	Ні	Так	Ні	Недостаточно исследована, фальсификация данных, скрытие побочных эффектов: нам их не показывают в такой мере, как гиперболизируют количество смертей от Ковид. Говорят, что больницы забиты, а мой дедушка-паникёр смог в красной (!) зоне попросить его положить в больницу с чистыми лёгкими и без температуры. Так же он там лежал и сказал, что ещё есть достаточно свободных мест и все там хорошо. Поэтому вывод- запугивают и принуждают прививаться, некоторые верят, что это панацея. Так же есть родственница, которая летом привилась, а 3 недели назад заболела. И возникают вопросы зачем принудительно прививать и так здоровых людей или детей, если у тех прекрасный иммунитет. Плюс привитые такие же переносчики - поэтому не вижу никакой пользы  как для себя, так и для окружающих (это для тех, кто начинают что-то рассказывать про коллективный иммунитет, пока не видно эффекта ни в одной из стран, в которых привито большинство населения). Считаю, что это право выбора каждого человека, а не принудительное изнасилование иголкой. 	16-25
12/10/2021 16:10:57	Инженер	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Так	Негативно	Ні	Ні	Ні	Нет эпилемии	45-60
12/10/2021 16:12:55	Освіта	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Важко відповісти	Ні	Негативно	Ні	Так	Так	Неповна інформація про склад і наслідки	35-45
12/10/2021 16:16:00	Психолог	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Обґрунтована недовіра до експериментального препарату,  тиск з боку влади, брехня та маніпулювання інформацією та статистикою. 	35-45
12/10/2021 16:17:15	Бухгалтер	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Важко відповісти	Близько трьох чвертей знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	Особисто моя думка: якщо вакцинація така корисна, тоді чому вона проводиться під тиском і залякуванням людей? Чому порушуються конституційні права людей? Чому зіштовхують між собою вакцинованих і невакцинованих? Чому породжують ненависть серед населення?	35-45
12/10/2021 16:18:05	Менеджер	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Важко відповісти	Ніхто	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Ні	Так	Вакцина не випробувана, люди, які вже зробилення, отримують тяжкі негативні, а інколи безповоротні наслідки пошкодження здоров’я після вакцинації	25-35
12/10/2021 16:18:32	Пенсионеры 	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Негативно	Так	Ні	Ні	Это сегрегация.	60+
12/10/2021 16:20:18	Пенсіонер	Ні, не вірю в його існування	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Ні	Так	Медексперимент .	60+
12/10/2021 16:24:10	Филолог	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	Нет доверия 	60+
12/10/2021 16:24:33	Продажи	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Скоріше негативно	Ні	Так	Ні	Примус та ненауковий підхід до вакцинації. Відсутність прозорої інформації та конструктивного діалогу між сторонами. 	35-45
12/10/2021 16:27:57	доктор філософії права, не маю можливості працювати через примусову вакцинацію	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Далося взнаки позитивно, відчуваю підтримку	Мої знайомі перехворіли без особливих ускладнень	Ні	Скоріше негативно	Ні	Так	Ні	недовіра до експериментальних вакцин,примус з боку влади	25-35
12/10/2021 16:30:54	Спорт клуб	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Ні	Так	Я вообще против таблеток  и уколов, стараюсь лечится народными средствами 	45-60
12/10/2021 16:33:35	Безробітний	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Ні	Те що примушують	45-60
12/10/2021 16:35:48	Шкільний лікар-педіатр	Так, вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Ні	Ні	Недовіра уряду.Відсутність урядових програм підтримки соціального,фізичного ,психічного здоров'я людей в умовах пандемії. Дисонанс між інформацією з офіційних джерел,і тим,що люди бачать,або читають(чують) в реаліях,або з інших,викликаючи з довіру джерел інформації. 	45-60
12/10/2021 16:39:02	Чп	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Скоріше негативно	Ні	Так	Ні	Не довирие 	35-45
