"Timestamp"	"Коротко про те, ким ви працюєте:"	"category"	"probability"	"speciality_auto_detected"	"Чи вважаєте Ви COVID-19 небезпечним респіраторним захворюванням?"	"Чи довіряєте Ви уряду щодо кампанії вакцинації від COVID-19?"	"Чи довіряєте Ви сфері медицини, окрім кампанії вакцинації?"	"В цілому, я довіряю новинам:"	"Я вважаю, що усунення від роботи невакцинованих співробітників погіршує ситуацію:"	"Як багато Ваших знайомих вакциновано?"	"Як ваше рішення щодо вакцинації позначилося на ставленні людей до вас?"	"Як епідемія вплинула на ваших знайомих?"	"Ви готові придбати або вже придбали підроблений сертифікат COVID-19:"	"Крім питання персональної довіри до вакцин, в цілому ви ставитеся до вакцинації від COVID-19:"	"Ви вакциновані:"	"Незалежно від позиції по вакцинації, ви відстоюєте її:"	"Ви часто приєднуєтеся до громадських мітингів на важливі для вас теми:"	"У чому, на вашу думку, основна причина відмови людей від вакцинації?"	"Ваш вік"
"12/10/2021 9:17:55"	"Інженер "	"2-1"	1	"інженер"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Важко відповісти"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Примус, стан здоров'я, відсутність бажання впливати зайвий раз на імунну систему "	"35-45"
"12/10/2021 9:23:15"	"Не працюю"	"10-10"	1	"не працюю"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Небажання приймати участь в експерименті"	"45-60"
"12/10/2021 9:23:47"	"Менеджер"	"1-7"	1	"менеджер"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Бо це експеременти над людьми"	"25-35"
"12/10/2021 9:25:45"	"Консультант продавець"	"5-4"	1	"продавець(2)"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих ніхто не захворів"	"Ні"	"Скоріше негативно"	"Так"	"Ні"	"Так"	"Більшість людей, які мають відносно нормальний опір свого організму ( імунітет) мають право вибору робити вакцину чи ні. Я працюю на постійному контакті з людьми, і наразі ще не хворіла. Вакцинувалися лише тому, що потрібно працювати і це вважаю психологічним насильством над собою. Тобто вибір один: вакцинуйся або помри з голоду.  Неподобство !!! "	"35-45"
"12/10/2021 9:34:09"	"Менеджер"	"1-7"	1	"менеджер"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Медичний експеримент на людях. Ніхто не несе відповідальності за наслідки."	"25-35"
"12/10/2021 9:45:17"	"Врач"	"2-2"	1	"лікар"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Ні"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Цитокиновый шторм и развитие аутоимунных заболеваний"	"25-35"
"12/10/2021 9:48:53"	"Продавец"	"5-4"	1	"продавець"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Люди не хотят учавствовать в єксперементе."	"45-60"
"12/10/2021 9:53:02"	"Водій"	"8-4"	1	"водій"	"Ні, не вважаю"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Ні"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Думають про своє здоров'я, не тільки зараз, але й після експерименту."	"45-60"
"12/10/2021 9:56:46"	"Офіс"	"3-10"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Так"	"Негативно"	"Ні"	"Так"	"Ні"	"Недовіра до якості, побічні ефекти"	"25-35"
"12/10/2021 10:00:51"	"продавец"	"5-4"	1	"продавець"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Люди не желают учавствовать в єксперементе"	"45-60"
"12/10/2021 10:10:17"	"Психолог"	"2-2"	1	"психолог"	"Так, вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Частота проведения и эксперементальные вакцины"	"35-45"
"12/10/2021 10:16:27"	"Домогосподарка"	"10-10"	1	"домогосподарка"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Брехня уряду, замовчування побічних ефектів після вакцинації, відсутність адекватного розслідування та реагування на тяжкі ускладнення вакцинації,  тяжкі побічні ускладнення, відсутність даних щодо безпечності та ефективності наявних вакцин в цілому"	"35-45"
"12/10/2021 10:35:41"	"Менеджер"	"1-7"	1	"менеджер"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Побочные явления от вакцин,скрытие этой информации в официальных каналах,нет страховки для пострадавших"	"45-60"
"12/10/2021 10:49:59"	"Пенсіонер"	"10-10"	1	"пенсіонер"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Так"	"Так"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Ця вакцинація шкідлива для здоров'я "	"60+"
"12/10/2021 10:50:19"	"Лікар"	"2-2"	1	"лікар"	"Ні, не вважаю"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Вони проти прийняття участі в медичному експерименті, особливо якщо до цього примушують!!!"	"45-60"
"12/10/2021 10:58:32"	"Держслужба"	"5-4"	0.75	"держслужбовець"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Всі або майже всі"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Страх за життя, невпевненість у вакцинах, дії держави"	"45-60"
"12/10/2021 12:04:46"	"Не працюю"	"10-10"	1	"не працюю"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Не про здоровья"	"25-35"
"12/10/2021 12:40:09"	"Педагог"	"2-5"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Недовіра"	"35-45"
"12/10/2021 12:42:48"	"Лікар"	"2-2"	1	"лікар"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Небезпека для здоров'я, відсутність сенсу."	"60+"
"12/10/2021 13:02:23"	"Инженер "	"2-1"	1	"інженер"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Так"	"Ні"	"Ні"	"Это не вакцины раз, защиты никакой,после них падает качество здоровья и жизни. До вакцинацинации общаясь с ковидными я не заболела за 1.5 года,после вакцинации заболела и при чем очень тяжело 70% поражение лёгких, сатурация упала до 60%. Не вакцинированные переболевают легче и быстрее за 10-14 дней.  Семейный работает по каким то протоколам,а не глядя на состояние больного. Огромное спасибо за то,что за наши налоги государство убивает нам иммунитет. "	"60+"
"12/10/2021 14:12:19"	"Хімічна промисловість"	"2-1"			"Так, вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Безграмотне проведення вакцинації, примус, сегрегація населення"	"45-60"
"12/10/2021 14:48:23"	"частній предприниматель"	"1-7"	0.956521739130435	"приватний підприємець"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Ні"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"експерімент"	"35-45"
"12/10/2021 15:54:44"	"Продавец-консультант"	"5-4"			"Так, вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Важко відповісти"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Скоріше негативно"	"Ні"	"Ні"	"Ні"	"Не довіра "	"16-25"
"12/10/2021 15:58:38"	"тех отдел билетное агенство "	"3-1"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"недовіра до влади країни , та в цілому до ситуації  у світі "	"25-35"
"12/10/2021 15:58:42"	"Аналітик"	"2-1"	1	"аналітик"	"Так, вважаю"	"Скоріше так"	"Скоріше ні"	"Ні"	"Важко відповісти"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Скоріше позитивно"	"Так"	"Так"	"Ні"	"Страх, недовіра до влади, неосвіченість, проплачені кампанії з дискредитації вакцинації "	"35-45"
"12/10/2021 15:59:16"	"Декрет"	"10-10"	1	"декрет"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Брехня "	"35-45"
"12/10/2021 15:59:18"	"Банковский работник"	"5-4"	0.842105263157895	"соцпрацівник(2)"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Так"	"Всі або майже всі"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Это не вакцина. "	"60+"
"12/10/2021 16:00:02"	"Домогосподарка"	"10-10"	1	"домогосподарка"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Піклування про власне здоров‘я, недовіра, неефективність, сегрегація "	"25-35"
"12/10/2021 16:03:00"	"ФОП"	"1-7"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Так"	"Негативно"	"Ні"	"Так"	"Ні"	"Тотальна брехня та замовчування реальної картини"	"45-60"
"12/10/2021 16:05:03"	"трейдер"	"5-4"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"це не вакцина, а невидома жижа."	"35-45"
"12/10/2021 16:06:31"	"Студент"	"11-10"	1	"студент"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Так"	"Негативно"	"Ні"	"Так"	"Ні"	"Недостаточно исследована, фальсификация данных, скрытие побочных эффектов: нам их не показывают в такой мере, как гиперболизируют количество смертей от Ковид. Говорят, что больницы забиты, а мой дедушка-паникёр смог в красной (!) зоне попросить его положить в больницу с чистыми лёгкими и без температуры. Так же он там лежал и сказал, что ещё есть достаточно свободных мест и все там хорошо. Поэтому вывод- запугивают и принуждают прививаться, некоторые верят, что это панацея. Так же есть родственница, которая летом привилась, а 3 недели назад заболела. И возникают вопросы зачем принудительно прививать и так здоровых людей или детей, если у тех прекрасный иммунитет. Плюс привитые такие же переносчики - поэтому не вижу никакой пользы  как для себя, так и для окружающих (это для тех, кто начинают что-то рассказывать про коллективный иммунитет, пока не видно эффекта ни в одной из стран, в которых привито большинство населения). Считаю, что это право выбора каждого человека, а не принудительное изнасилование иголкой. "	"16-25"
"12/10/2021 16:10:56"	"Инженер"	"2-1"	1	"інженер"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Так"	"Негативно"	"Ні"	"Ні"	"Ні"	"Нет эпилемии"	"45-60"
"12/10/2021 16:12:55"	"Освіта"	"2-5"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Важко відповісти"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Неповна інформація про склад і наслідки"	"35-45"
"12/10/2021 16:16:00"	"Психолог"	"2-2"	1	"психолог"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Обґрунтована недовіра до експериментального препарату,  тиск з боку влади, брехня та маніпулювання інформацією та статистикою. "	"35-45"
"12/10/2021 16:17:14"	"Бухгалтер"	"3-3"	1	"бухгалтер"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Важко відповісти"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Особисто моя думка: якщо вакцинація така корисна, тоді чому вона проводиться під тиском і залякуванням людей? Чому порушуються конституційні права людей? Чому зіштовхують між собою вакцинованих і невакцинованих? Чому породжують ненависть серед населення?"	"35-45"
"12/10/2021 16:18:05"	"Менеджер"	"1-7"	1	"менеджер"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Важко відповісти"	"Ніхто"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Вакцина не випробувана, люди, які вже зробилення, отримують тяжкі негативні, а інколи безповоротні наслідки пошкодження здоров’я після вакцинації"	"25-35"
"12/10/2021 16:18:31"	"Пенсионеры "	"10-10"	0.947368421052632	"пенсіонер"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Так"	"Ні"	"Ні"	"Это сегрегация."	"60+"
"12/10/2021 16:20:18"	"Пенсіонер"	"10-10"	1	"пенсіонер"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Медексперимент ."	"60+"
"12/10/2021 16:24:09"	"Филолог"	"2-8"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Нет доверия "	"60+"
"12/10/2021 16:24:32"	"Продажи"	"5-4"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Ні"	"Примус та ненауковий підхід до вакцинації. Відсутність прозорої інформації та конструктивного діалогу між сторонами. "	"35-45"
"12/10/2021 16:27:56"	"доктор філософії права, не маю можливості працювати через примусову вакцинацію"	"1-7"	0.714285714285714	"директор"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Ні"	"недовіра до експериментальних вакцин,примус з боку влади"	"25-35"
"12/10/2021 16:30:53"	"Спорт клуб"	"3-11"	0.714285714285714	"спортсмен"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Я вообще против таблеток  и уколов, стараюсь лечится народными средствами "	"45-60"
"12/10/2021 16:33:34"	"Безробітний"	"10-10"	0.857142857142857	"безробітна"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Те що примушують"	"45-60"
"12/10/2021 16:35:47"	"Шкільний лікар-педіатр"	"2-2"	1	"шкільний лікар-педіатр"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Недовіра уряду.Відсутність урядових програм підтримки соціального,фізичного ,психічного здоров'я людей в умовах пандемії. Дисонанс між інформацією з офіційних джерел,і тим,що люди бачать,або читають(чують) в реаліях,або з інших,викликаючи з довіру джерел інформації. "	"45-60"
"12/10/2021 16:39:01"	"Чп"	"1-7"	1	"пп"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Ні"	"Не довирие "	"35-45"
"12/10/2021 16:44:09"	"Нет"	"10-10"	1	"ні"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Ні"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Це все надумано, а людей залякують. Є грип та інші простудні захворювання, але ковід нам нав'язують заморські пани"	"60+"
"12/10/2021 17:08:54"	"Керівник "	"1-7"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"У розумінні та розпізнанні врання та зовсім НЕ благих спроб маніпуляцій по відношенню до людей - їх прав, свободи, здоров‘я та життя."	"35-45"
"12/10/2021 17:11:02"	"Budowlaniec "	"7-1"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"На мою думку, це йде стерилізація населення, щоб не виправданими способами зменшити популяцію людей на землі. "	"25-35"
"12/10/2021 17:12:37"	"державний службовець"	"5-4"	1	"державний службовець"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"примус, вакцина нe апробована."	"35-45"
"12/10/2021 17:37:40"	"Продавець"	"5-4"	1	"продавець"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Геноцид"	"25-35"
"12/10/2021 17:57:29"	"Не працюю "	"10-10"	1	"не працюю"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Важко відповісти"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Важко відповісти"	"Так"	"Негативно"	"Ні"	"Ні"	"Так"	"Недовери до медицины и власти .  Почему к онкологии не привязано сколько внимания , это на много страшнее , и безсимптомнее короны ((("	"35-45"
"12/10/2021 18:02:29"	"Металлург"	"3-1"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Так"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Смерть"	"45-60"
"12/10/2021 18:04:36"	"фоп"	"1-7"			"Так, вважаю"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Так"	"Ніхто"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Позитивно"	"Ні"	"Так"	"Так"	"срок вакцини"	"35-45"
"12/10/2021 18:04:51"	"Студет"	"11-10"	0.923076923076923	"студент"	"Так, вважаю"	"Скоріше ні"	"Так, довіряю"	"Так"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше позитивно"	"Ні"	"Ні"	"Ні"	"Вакцинація добровільна, але людей примушують вакцинуватися порушуючи цим права та свободи громадян"	"16-25"
"12/10/2021 18:05:52"	"Продавець непродовольчих товарів"	"5-4"	1	"продавець"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько трьох чвертей знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Тому , що це експеремент"	"35-45"
"12/10/2021 18:06:05"	"Фрілансер відеограф"	"3-10"	1	"фрілансер"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Важко відповісти"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Недовіра до самих вакцин. Побоювання побічних реакцій. "	"35-45"
"12/10/2021 18:07:11"	"пенсионер"	"10-10"	1	"пенсіонер"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"тяжёлые побочные последствия"	"60+"
"12/10/2021 18:08:00"	"юрист"	"2-6"	1	"юрист"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"вакцина є небезпечною, яка призводить до ускладнень і зниження імунітету"	"45-60"
"12/10/2021 18:09:41"	"Логістика"	"2-4"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Небажання ставати піддослідним у медичному експерименті"	"25-35"
"12/10/2021 18:14:43"	"Сфера финансов"	"2-3"	0.8	"фінанси(2)"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Так"	"Насилие, недоверие и бессмысленность"	"35-45"
"12/10/2021 18:16:11"	"науково-педагогічний працівник"	"5-4"	0.857142857142857	"соцпрацівник(2)"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Важко відповісти"	"Всі або майже всі"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є загиблі"	"Ні"	"Скоріше позитивно"	"Ні"	"Так"	"Ні"	" порушення прав людини закріплених конституцієї та міжнародними нормативно-правовими актами; примусовість; відсутність відповідальності за наслідки як зі сторони виробників так і зі сторони держави; відсутність належного розслідування випадків проявів побічних реакцій; велика корупційна складова на всіх рівнях української влади; велика ймовірність корумпованості на всіх рівнях: від виробників до медичного персоналу; відстуність досліджень незалежними міжнародними установами; відсутність прозорості та відкритості щодо умов поставок  від виробників, представників влади, міжнародних організацій; непрофесійність осіб, які займають високі посади в міністерствах; і ще велика кількість складових - все це у сукупності є великою проблемою, реакцією на яку й є відмова людей від вакцинації."	"25-35"
"12/10/2021 18:20:00"	"програміст"	"2-1"	1	"програміст"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"бо це не вакцинація, не турбота влади про здоров'я людей, а безапеляційне знищення прав і свобод простої пересічної людини"	"45-60"
"12/10/2021 18:24:15"	"Экономист"	"3-3"	1	"економіст"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше так"	"Так"	"Так"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Так"	"Негативно"	"Ні"	"Так"	"Так"	"Вакцинация должна быть ДОБРОВОЛЬНОЙ. Нельзя разделять людей на вакцинированных и нет, нарушать их конституционные права: на труд, здоровье, свободу перемещения. "	"45-60"
